gender,degree,stream,ssc_p,hsc_p,cgpa,workex,coding_skills,communication_skills,analytical_skills,domain_knowledge,projects,internships,certifications,placed_status,placed_sector,placed_role,salary_lpa
M,MBA,Business Analytics,73.81,71.02,7.43,No,2.3,9.3,7.6,8.0,2,1,0,Placed,Consulting,Strategy Consultant,10.91
F,B.Tech,Civil,79.97,81.67,6.93,No,1.4,6.9,5.6,6.9,2,0,1,Placed,Core Engineering,Design Engineer,5.54
F,MBA,Marketing,81.82,85.88,6.7,No,3.8,6.5,7.6,6.8,2,0,0,Not Placed,Not Placed,None,
F,BCA,Computer Applications,69.34,63.15,7.21,No,5.9,5.2,5.3,5.4,1,0,0,Not Placed,Not Placed,None,
M,B.Tech,Civil,66.42,78.01,6.98,No,2.7,8.3,8.7,8.0,2,0,1,Placed,Core Engineering,Graduate Engineer Trainee,6.44
M,BCA,Computer Applications,82.27,77.65,8.16,No,6.4,7.3,6.0,6.1,1,1,2,Placed,Consulting,Business Analyst,7.29
M,MBA,Business Analytics,57.9,80.73,8.0,No,3.2,7.4,7.2,7.5,0,0,1,Placed,Finance,Tax Consultant,8.04
F,BCA,Computer Applications,74.39,74.99,8.21,No,5.8,5.7,9.6,6.1,4,2,2,Placed,Tech,Software Engineer,11.84
F,B.Tech,Information Technology,56.3,50.58,9.01,Yes,7.9,7.8,5.4,8.8,3,0,3,Placed,Tech,Web Developer,13.85
M,B.Sc,Physics,80.65,68.45,9.74,No,4.5,7.9,6.6,5.5,0,0,0,Not Placed,Not Placed,None,
M,B.Tech,Electronics,67.42,58.44,7.65,No,5.8,5.5,8.1,7.2,2,1,1,Placed,Core Engineering,Design Engineer,5.78
M,B.Tech,Information Technology,82.69,67.97,8.82,No,6.3,4.4,7.9,5.8,2,0,1,Placed,Tech,Software Engineer,11.34
M,B.Tech,Computer Science,74.91,79.8,7.08,Yes,6.8,7.4,6.0,6.1,2,1,2,Placed,Consulting,Business Analyst,9.18
F,B.Tech,Information Technology,57.77,73.05,8.92,No,8.7,4.1,5.7,5.9,3,0,2,Placed,Tech,Software Engineer,14.93
F,B.Tech,Computer Science,84.25,81.48,8.77,No,8.1,6.7,6.2,7.6,2,1,1,Placed,Tech,Web Developer,14.95
M,B.Tech,Information Technology,85.51,73.42,8.71,No,8.3,5.8,8.7,7.9,3,2,2,Placed,Tech,Software Engineer,16.17
M,B.Sc,Biotech,78.82,57.02,7.61,No,4.7,8.3,6.1,7.3,0,0,1,Not Placed,Not Placed,None,
M,B.Tech,Computer Science,62.38,45.0,6.7,Yes,7.3,5.9,6.6,6.3,3,0,1,Placed,Tech,Software Engineer,10.69
F,B.Tech,Mechanical,66.94,71.49,5.83,No,3.3,8.2,5.9,6.6,2,1,0,Not Placed,Not Placed,None,
M,BBA,Marketing,71.45,67.86,7.45,Yes,3.8,5.7,7.6,8.4,2,1,1,Placed,Consulting,Business Analyst,9.09
M,BCA,Computer Applications,62.96,60.23,9.34,No,9.2,8.0,6.7,7.9,2,1,1,Placed,Tech,Web Developer,17.18
M,B.Com,General Commerce,86.92,52.99,7.13,Yes,1.4,9.6,5.0,6.7,1,0,2,Not Placed,Not Placed,None,
F,B.Tech,Computer Science,71.44,62.65,8.44,No,7.9,4.9,5.0,6.1,2,0,0,Not Placed,Not Placed,None,
F,B.Tech,Computer Science,45.0,68.06,8.51,No,8.3,6.9,3.5,6.2,4,0,1,Placed,Tech,Web Developer,13.96
F,B.Tech,Information Technology,73.39,76.66,7.16,No,6.8,10.0,5.3,7.5,3,2,3,Placed,Consulting,Operations Analyst,9.25
M,B.Tech,Computer Science,66.52,71.89,9.08,Yes,7.7,6.6,7.7,6.4,3,0,2,Placed,Tech,Web Developer,13.57
M,B.Tech,Electronics,69.25,86.08,4.01,No,4.7,6.6,8.5,7.6,2,2,0,Placed,Core Engineering,Design Engineer,6.06
M,B.Tech,Civil,66.31,59.64,6.03,No,2.5,7.7,7.5,6.8,0,1,0,Placed,Consulting,Strategy Consultant,9.21
F,B.Tech,Information Technology,78.07,78.81,6.4,No,8.3,6.6,7.3,6.9,4,1,3,Placed,Tech,Software Engineer,12.86
M,B.Tech,Computer Science,81.2,70.47,6.52,No,6.9,3.9,6.3,7.9,3,1,2,Placed,Tech,QA Engineer,10.89
M,BCA,Computer Applications,72.83,76.95,7.9,No,6.3,8.2,7.7,4.3,3,0,0,Placed,Consulting,Strategy Consultant,9.86
F,B.Tech,Electronics,66.61,65.63,7.85,No,4.1,3.5,6.9,10.0,1,1,1,Placed,Core Engineering,Site Engineer,7.5
F,MCA,Computer Applications,69.59,80.72,7.97,No,8.6,5.9,9.2,8.3,2,1,3,Placed,Tech,Data Analyst,14.83
M,BCA,Computer Applications,70.2,72.95,8.22,No,7.3,8.3,6.4,6.5,3,1,1,Placed,Consulting,Operations Analyst,8.66
M,B.Com,General Commerce,61.98,63.21,6.36,Yes,5.7,6.0,8.5,5.9,0,0,0,Placed,Finance,Tax Consultant,9.92
M,B.Tech,Information Technology,75.79,69.88,6.04,Yes,7.6,5.5,7.8,6.2,3,0,0,Placed,Tech,Software Engineer,10.46
F,B.Com,Accounting & Finance,74.6,67.6,7.98,No,2.3,7.8,6.7,7.2,1,1,0,Placed,Consulting,Business Analyst,8.56
F,B.Sc,Physics,85.4,74.89,6.74,No,5.0,5.2,3.5,7.2,0,0,1,Not Placed,Not Placed,None,
M,B.Tech,Computer Science,82.55,58.2,5.62,No,6.0,4.7,7.9,8.8,4,0,1,Not Placed,Not Placed,None,
M,BBA,Marketing,63.14,69.71,8.67,No,4.3,6.9,6.3,6.9,0,0,2,Placed,Consulting,Strategy Consultant,7.22
F,MBA,Business Analytics,78.2,73.95,9.17,No,1.0,6.2,7.1,5.1,0,1,1,Not Placed,Not Placed,None,
F,B.Tech,Electronics,60.49,70.33,9.37,No,7.4,4.6,4.3,4.6,2,2,2,Placed,Tech,Web Developer,15.42
M,B.Tech,Computer Science,76.96,83.47,7.72,No,8.6,7.5,6.5,5.9,2,0,0,Not Placed,Not Placed,None,
M,BBA,Marketing,64.83,77.74,8.25,No,5.1,7.2,6.6,7.7,1,0,1,Placed,Consulting,Business Analyst,7.75
M,B.Com,Accounting & Finance,59.77,69.93,9.14,No,6.3,6.0,6.4,5.6,0,0,0,Placed,Consulting,Business Analyst,6.39
M,B.Tech,Computer Science,72.8,72.17,6.73,No,7.7,6.1,4.3,5.4,3,0,3,Placed,Tech,QA Engineer,11.25
F,B.Tech,Computer Science,45.0,72.96,8.83,No,6.9,7.2,7.2,5.8,3,0,1,Not Placed,Not Placed,None,
F,MCA,Computer Applications,52.49,74.03,7.83,No,5.0,8.3,7.8,8.7,3,0,1,Placed,Consulting,Strategy Consultant,10.09
F,BCA,Computer Applications,68.23,51.74,8.6,No,6.8,6.1,6.8,8.2,2,1,2,Placed,Tech,Cloud Associate,12.82
M,B.Sc,Physics,70.82,66.98,7.72,No,2.6,7.5,8.2,6.8,1,0,0,Placed,Consulting,Business Analyst,9.71
F,MCA,Computer Applications,66.31,55.16,9.06,No,7.3,7.3,6.4,3.1,2,0,1,Not Placed,Not Placed,None,
M,BCA,Computer Applications,54.21,82.78,7.77,Yes,7.0,7.8,6.4,10.0,2,0,3,Not Placed,Not Placed,None,
M,B.Com,Accounting & Finance,61.82,69.39,5.72,Yes,2.6,6.6,6.6,8.3,0,1,2,Placed,Finance,Financial Analyst,9.98
M,B.Tech,Civil,73.91,68.07,9.24,No,2.2,5.1,4.2,8.2,2,0,0,Placed,Core Engineering,Site Engineer,6.58
M,B.Tech,Mechanical,75.82,78.97,6.36,No,2.0,5.8,9.3,8.1,1,1,2,Placed,Core Engineering,Site Engineer,6.01
F,B.Com,General Commerce,69.84,74.22,9.0,No,3.7,7.0,8.2,7.2,1,0,1,Placed,Consulting,Strategy Consultant,9.21
M,BBA,General Management,81.57,58.71,7.39,No,2.1,9.2,4.4,9.7,1,0,1,Not Placed,Not Placed,None,
M,BCA,Computer Applications,73.97,69.29,8.91,No,7.5,5.8,6.7,7.9,2,1,1,Placed,Tech,Software Engineer,14.16
M,BCA,Computer Applications,62.53,66.65,8.86,Yes,8.3,7.7,6.3,5.1,3,0,1,Placed,Tech,Web Developer,14.25
M,B.Tech,Computer Science,67.19,52.55,8.02,No,6.1,6.0,6.1,6.0,3,1,0,Placed,Tech,Data Analyst,11.22
M,MCA,Computer Applications,55.97,63.1,8.11,No,9.4,6.7,5.9,9.5,3,1,2,Placed,Tech,Data Analyst,16.19
M,BCA,Computer Applications,68.92,68.16,8.01,Yes,6.3,8.8,7.1,6.8,3,0,1,Not Placed,Not Placed,None,
F,B.Tech,Electronics,81.12,68.85,5.08,No,6.2,7.6,7.7,6.2,3,0,1,Not Placed,Not Placed,None,
M,B.Tech,Information Technology,76.85,55.18,7.64,No,6.6,4.6,7.1,5.1,2,1,1,Placed,Tech,Data Analyst,11.54
M,MCA,Computer Applications,84.02,81.52,6.16,No,7.2,5.6,6.3,7.3,2,2,0,Placed,Tech,Software Engineer,11.96
M,B.Tech,Computer Science,66.97,68.98,7.71,No,8.6,8.4,6.3,8.0,4,1,2,Placed,Tech,Software Engineer,14.59
F,B.Tech,Civil,83.46,70.38,6.13,No,2.1,6.7,7.9,7.3,0,0,2,Placed,Core Engineering,Design Engineer,4.85
M,B.Tech,Information Technology,68.07,74.01,6.08,No,7.8,4.8,7.2,6.1,1,0,0,Placed,Tech,Software Engineer,10.76
M,B.Tech,Information Technology,84.72,62.12,9.43,No,7.6,5.3,6.6,7.0,2,1,2,Placed,Tech,Software Engineer,14.79
M,B.Tech,Computer Science,69.78,74.56,8.78,No,9.4,7.6,6.4,9.0,1,1,3,Placed,Tech,QA Engineer,16.93
M,BBA,Finance,77.07,66.33,7.5,No,3.8,8.0,7.6,6.7,1,0,0,Placed,Consulting,Business Analyst,9.55
M,B.Sc,Biotech,84.75,61.03,7.72,Yes,6.7,6.5,5.8,5.3,1,0,1,Not Placed,Not Placed,None,
F,B.Com,General Commerce,68.07,75.73,7.2,No,2.0,10.0,7.7,5.4,0,1,0,Placed,Consulting,Operations Analyst,11.73
F,B.Com,General Commerce,72.18,84.92,8.18,Yes,2.1,7.7,4.9,6.5,0,0,1,Placed,Consulting,Operations Analyst,8.54
M,BCA,Computer Applications,82.89,77.25,6.69,No,8.5,6.1,5.9,7.7,2,0,3,Placed,Tech,Software Engineer,12.49
F,B.Tech,Information Technology,68.67,79.23,8.69,No,9.0,5.3,7.4,4.9,1,1,3,Placed,Tech,Data Analyst,16.18
F,BCA,Computer Applications,56.79,64.79,7.2,No,6.3,5.0,4.8,6.5,2,0,1,Placed,Tech,Data Analyst,9.65
M,B.Sc,Physics,91.43,54.02,7.0,No,4.1,7.0,4.1,6.1,1,1,0,Placed,Consulting,Business Analyst,6.0
M,B.Com,Accounting & Finance,65.3,84.9,7.53,No,3.9,5.8,6.4,8.1,0,0,1,Placed,Finance,Risk Associate,7.05
M,MCA,Computer Applications,71.59,90.55,6.79,No,7.5,9.0,4.0,5.7,1,1,0,Placed,Consulting,Business Analyst,8.01
M,B.Tech,Information Technology,81.56,85.43,7.89,Yes,8.0,8.7,4.6,8.4,3,1,1,Placed,Consulting,Operations Analyst,9.5
F,B.Tech,Civil,63.92,66.64,6.86,No,2.4,7.4,7.6,6.7,1,1,2,Placed,Core Engineering,Graduate Engineer Trainee,4.9
F,MCA,Computer Applications,59.92,58.45,8.06,No,6.7,4.7,6.2,5.2,1,1,1,Placed,Tech,Software Engineer,12.11
F,B.Sc,Biotech,72.54,59.34,8.96,No,2.6,5.5,8.4,7.9,0,0,2,Placed,Consulting,Business Analyst,7.92
F,B.Sc,Computer Science,52.07,53.16,6.64,No,4.8,8.4,4.7,4.6,1,0,0,Placed,Consulting,Business Analyst,7.38
M,MCA,Computer Applications,67.12,68.93,7.34,Yes,7.7,5.7,6.4,8.4,3,1,2,Placed,Tech,Software Engineer,12.95
M,MBA,Marketing,72.45,86.06,8.05,No,3.0,8.2,7.1,5.0,1,0,1,Placed,Consulting,Business Analyst,9.28
F,B.Sc,Computer Science,67.3,68.58,6.98,No,9.1,7.2,4.7,8.6,0,0,0,Not Placed,Not Placed,None,
M,B.Tech,Information Technology,54.57,73.02,8.06,Yes,8.9,6.6,8.0,6.3,2,1,3,Placed,Tech,Software Engineer,15.35
F,B.Tech,Computer Science,85.94,83.76,8.17,No,8.8,5.4,7.3,5.8,2,1,1,Placed,Tech,Software Engineer,15.42
F,B.Tech,Information Technology,71.04,65.96,8.8,No,6.6,6.4,4.1,6.6,2,1,0,Not Placed,Not Placed,None,
F,B.Tech,Civil,84.31,90.36,6.77,No,2.4,6.8,6.4,7.0,1,0,2,Placed,Core Engineering,Graduate Engineer Trainee,5.1
F,B.Tech,Computer Science,67.4,89.92,6.37,Yes,6.2,8.0,7.1,5.5,3,1,0,Placed,Consulting,Strategy Consultant,10.93
M,B.Tech,Electronics,61.2,68.69,7.13,No,6.0,5.2,5.6,5.7,3,1,1,Not Placed,Not Placed,None,
F,B.Tech,Information Technology,72.69,64.22,6.34,No,8.8,6.1,4.3,6.0,4,2,3,Placed,Tech,Software Engineer,14.57
F,B.Tech,Electronics,67.84,76.97,8.18,No,6.0,6.6,6.9,4.7,2,0,2,Placed,Consulting,Strategy Consultant,7.48
M,BBA,Marketing,58.22,66.52,6.11,No,3.5,7.5,9.8,6.9,1,0,0,Not Placed,Not Placed,None,
F,B.Tech,Computer Science,84.7,58.43,10.0,No,9.9,5.1,5.9,6.4,1,0,2,Not Placed,Not Placed,None,
M,BCA,Computer Applications,63.78,82.81,9.06,Yes,7.6,4.5,8.9,6.0,3,1,0,Placed,Tech,Software Engineer,14.47
F,MCA,Computer Applications,51.6,82.16,7.52,No,5.0,7.5,5.4,4.8,1,1,2,Not Placed,Not Placed,None,
M,MBA,Marketing,83.28,71.56,8.54,No,2.4,4.2,6.8,6.0,2,2,1,Placed,Consulting,Strategy Consultant,5.82
M,B.Tech,Electronics,64.96,57.37,5.54,Yes,5.2,8.4,7.7,9.4,1,0,1,Not Placed,Not Placed,None,
M,MCA,Computer Applications,63.92,57.7,10.0,No,7.1,6.3,6.5,5.6,2,0,2,Placed,Tech,QA Engineer,13.71
F,MBA,Operations,52.35,71.07,6.79,No,5.0,4.2,6.1,9.2,2,1,2,Not Placed,Not Placed,None,
M,BBA,Human Resources,87.41,65.0,7.36,No,1.5,5.8,7.6,6.2,1,0,0,Placed,Consulting,Strategy Consultant,7.37
M,BBA,Marketing,57.11,66.59,5.27,No,2.4,7.1,9.3,9.5,1,0,2,Not Placed,Not Placed,None,
M,B.Tech,Computer Science,70.58,80.22,8.08,No,7.7,5.7,7.0,9.2,2,2,2,Placed,Tech,Software Engineer,14.67
F,B.Tech,Computer Science,79.13,77.33,6.17,No,7.0,6.5,5.7,7.5,3,0,2,Placed,Tech,QA Engineer,9.63
M,B.Com,Accounting & Finance,74.22,83.78,7.62,No,2.8,7.6,9.3,5.4,1,0,0,Placed,Consulting,Business Analyst,10.89
M,MBA,Human Resources,69.4,60.09,6.85,Yes,4.3,6.2,10.0,4.5,1,1,2,Placed,Consulting,Business Analyst,12.0
F,B.Sc,Mathematics,52.98,66.57,6.21,No,4.8,5.1,6.7,4.8,2,2,0,Placed,Tech,Software Engineer,8.43
M,B.Sc,Computer Science,61.9,77.59,6.53,Yes,8.1,6.1,5.6,9.2,1,0,1,Placed,Tech,Data Analyst,11.61
F,B.Tech,Computer Science,71.88,74.48,7.77,No,7.9,8.6,4.8,5.1,2,0,3,Placed,Consulting,Strategy Consultant,7.62
M,B.Com,General Commerce,62.13,85.32,5.96,No,4.4,9.0,3.8,7.6,2,1,2,Placed,Marketing & HR,Sales Associate,8.62
F,B.Tech,Electronics,72.03,74.21,6.6,No,6.8,3.5,7.0,5.4,2,1,0,Placed,Tech,Software Engineer,10.86
M,B.Tech,Computer Science,76.82,88.48,8.3,No,5.8,8.1,7.5,6.6,2,0,1,Placed,Consulting,Business Analyst,9.62
M,MCA,Computer Applications,79.63,75.4,10.0,Yes,6.6,6.9,5.9,8.6,1,0,2,Placed,Consulting,Business Analyst,8.58
F,BCA,Computer Applications,57.74,80.62,8.07,No,6.3,7.9,6.5,9.2,4,0,0,Placed,Consulting,Strategy Consultant,8.36
M,B.Tech,Computer Science,91.97,66.76,6.4,No,6.7,5.7,4.7,5.9,3,1,2,Placed,Tech,Cloud Associate,10.5
F,B.Tech,Computer Science,77.67,70.14,7.06,No,6.1,3.8,6.7,7.1,2,0,0,Placed,Tech,QA Engineer,9.17
M,B.Sc,Mathematics,69.98,79.11,7.54,No,3.7,7.4,7.2,6.6,0,1,0,Placed,Consulting,Business Analyst,8.6
M,B.Tech,Civil,80.9,86.13,7.08,No,3.9,5.1,5.7,8.1,0,0,1,Not Placed,Not Placed,None,
M,B.Sc,Biotech,93.65,77.29,8.58,Yes,4.5,4.4,9.0,10.0,0,0,0,Not Placed,Not Placed,None,
F,B.Tech,Computer Science,55.61,69.17,7.76,No,7.0,4.5,5.2,8.5,3,0,2,Placed,Tech,Software Engineer,11.34
M,BCA,Computer Applications,67.75,83.77,8.59,Yes,6.7,7.4,6.9,6.8,2,0,1,Placed,Consulting,Operations Analyst,10.13
M,BCA,Computer Applications,46.22,48.08,7.12,Yes,7.7,6.7,7.8,8.9,1,2,0,Placed,Tech,Data Analyst,13.64
M,B.Tech,Information Technology,71.93,55.78,9.09,No,9.7,7.7,6.4,8.3,4,0,2,Placed,Tech,Software Engineer,16.68
M,B.Tech,Computer Science,73.65,76.82,7.3,No,8.1,7.5,6.2,6.6,1,0,2,Not Placed,Not Placed,None,
M,B.Tech,Mechanical,69.61,70.14,6.33,No,7.8,5.9,4.4,7.7,2,0,0,Not Placed,Not Placed,None,
F,B.Tech,Electronics,63.45,76.06,10.0,No,4.9,6.4,8.5,8.8,1,0,1,Placed,Core Engineering,Graduate Engineer Trainee,6.51
M,MBA,Operations,49.5,70.64,5.31,No,2.5,5.7,6.2,7.2,0,1,0,Not Placed,Not Placed,None,
F,B.Tech,Mechanical,73.74,75.71,6.61,No,2.4,6.2,7.3,8.4,0,1,1,Placed,Core Engineering,Design Engineer,5.69
M,BBA,Human Resources,84.55,61.86,6.75,No,1.8,5.0,7.5,5.2,0,1,0,Placed,Consulting,Business Analyst,6.56
F,B.Tech,Information Technology,64.09,75.7,10.0,No,8.5,7.1,5.6,8.8,3,1,1,Not Placed,Not Placed,None,
F,B.Com,General Commerce,74.4,79.94,9.67,No,5.1,8.1,6.2,8.0,1,0,0,Placed,Consulting,Business Analyst,8.32
M,B.Com,Accounting & Finance,54.32,82.21,9.29,No,4.1,5.3,7.5,6.8,0,1,1,Not Placed,Not Placed,None,
F,B.Sc,Physics,74.57,90.14,7.1,No,5.3,8.4,4.8,6.4,0,0,2,Not Placed,Not Placed,None,
M,BCA,Computer Applications,66.07,72.44,10.0,No,6.0,6.7,9.7,5.7,3,1,1,Placed,Consulting,Operations Analyst,10.36
F,MCA,Computer Applications,62.38,72.74,7.94,No,7.8,6.9,5.4,6.1,1,0,0,Placed,Tech,Data Analyst,12.57
F,B.Tech,Computer Science,62.4,54.77,8.67,No,8.1,4.0,4.7,8.6,2,0,1,Placed,Tech,Software Engineer,13.81
M,MBA,Marketing,66.06,64.69,7.72,No,2.5,3.8,6.7,7.2,1,0,2,Not Placed,Not Placed,None,
M,BBA,Marketing,73.82,68.07,7.44,Yes,1.0,6.7,9.8,5.7,0,2,1,Placed,Consulting,Operations Analyst,12.33
M,MBA,Marketing,56.88,80.5,7.2,Yes,1.7,7.7,3.6,7.0,1,0,2,Placed,Marketing & HR,Brand Executive,8.25
M,B.Tech,Electronics,66.03,63.89,7.25,No,4.1,5.5,6.3,4.9,1,2,0,Placed,Core Engineering,Graduate Engineer Trainee,3.5
M,B.Com,General Commerce,69.59,77.96,8.23,No,1.7,9.0,7.2,7.2,2,1,0,Not Placed,Not Placed,None,
M,MBA,Human Resources,59.01,69.98,7.94,No,1.0,7.6,6.6,5.9,1,0,1,Placed,Consulting,Business Analyst,8.15
M,B.Tech,Computer Science,87.97,68.23,7.46,No,7.0,5.1,7.1,7.4,3,0,0,Not Placed,Not Placed,None,
F,B.Tech,Computer Science,61.47,72.49,9.31,No,6.4,6.5,5.4,5.5,4,0,0,Not Placed,Not Placed,None,
M,B.Com,Accounting & Finance,63.31,66.09,4.0,No,3.0,10.0,6.3,7.2,2,2,1,Not Placed,Not Placed,None,
M,B.Sc,Computer Science,60.22,65.71,8.11,No,6.4,4.6,6.3,4.1,0,0,1,Placed,Tech,Data Analyst,10.77
F,BBA,General Management,87.98,52.95,8.36,No,4.9,7.3,4.8,7.7,1,1,0,Placed,Consulting,Business Analyst,6.29
M,B.Tech,Computer Science,75.53,67.52,8.88,No,7.5,6.0,6.4,5.5,2,1,0,Placed,Tech,Software Engineer,14.18
M,B.Com,Accounting & Finance,60.63,65.2,7.42,No,3.4,7.6,7.8,6.7,2,1,0,Placed,Consulting,Business Analyst,9.37
M,B.Tech,Computer Science,81.06,64.84,7.75,No,7.3,8.4,5.8,5.9,2,2,0,Placed,Consulting,Strategy Consultant,8.2
F,B.Tech,Computer Science,72.01,74.17,8.68,No,6.9,5.9,7.0,4.9,2,1,1,Not Placed,Not Placed,None,
F,B.Tech,Information Technology,72.57,76.59,9.29,No,6.8,8.2,3.8,9.4,2,0,0,Placed,Consulting,Business Analyst,7.18
M,BBA,Human Resources,66.56,72.32,7.14,Yes,4.0,9.8,6.2,10.0,1,1,2,Placed,Marketing & HR,Marketing Executive,10.0
F,B.Com,Accounting & Finance,62.51,79.95,7.82,No,2.7,6.6,6.3,7.2,1,1,1,Placed,Consulting,Strategy Consultant,6.88
M,BCA,Computer Applications,73.38,75.76,9.51,No,8.9,7.7,4.9,4.7,1,1,0,Placed,Tech,QA Engineer,16.9
F,MCA,Computer Applications,64.55,67.05,4.95,No,6.8,5.6,8.4,6.8,2,1,0,Not Placed,Not Placed,None,
F,BBA,Marketing,88.17,65.37,6.67,Yes,1.0,6.5,6.6,5.8,2,1,1,Placed,Consulting,Business Analyst,8.91
F,MCA,Computer Applications,57.31,73.13,9.26,No,8.9,6.2,5.6,6.9,2,0,1,Not Placed,Not Placed,None,
M,BBA,General Management,85.36,75.74,8.81,No,4.7,7.7,4.5,8.8,2,0,1,Placed,Consulting,Operations Analyst,6.7
M,MCA,Computer Applications,68.89,83.98,8.13,Yes,7.6,8.3,6.7,8.1,2,0,1,Placed,Consulting,Business Analyst,10.82
M,MCA,Computer Applications,72.99,81.91,6.96,No,6.4,6.3,8.7,6.7,3,0,1,Placed,Consulting,Strategy Consultant,9.02
F,BCA,Computer Applications,78.33,64.59,6.44,No,7.5,8.8,5.9,5.1,3,2,0,Placed,Consulting,Strategy Consultant,8.72
M,B.Tech,Information Technology,63.7,68.98,6.79,No,8.4,8.8,6.4,3.7,2,1,2,Placed,Tech,Data Analyst,13.41
F,B.Com,Accounting & Finance,78.64,76.71,9.36,No,2.7,7.8,8.2,6.7,0,1,1,Placed,Consulting,Strategy Consultant,10.0
F,BCA,Computer Applications,45.0,80.68,6.75,No,8.8,5.7,7.0,10.0,2,0,1,Placed,Tech,Web Developer,13.02
M,B.Tech,Electronics,62.8,79.39,7.62,Yes,3.4,5.6,4.1,5.0,2,0,1,Not Placed,Not Placed,None,
F,BBA,Marketing,60.76,69.36,6.6,No,1.1,5.3,6.6,6.6,0,0,1,Not Placed,Not Placed,None,
F,MCA,Computer Applications,57.46,57.46,8.51,No,6.0,7.9,8.8,8.2,4,0,0,Placed,Consulting,Operations Analyst,10.69
F,BCA,Computer Applications,67.85,60.01,6.85,No,8.1,4.7,6.4,4.6,2,0,1,Placed,Tech,Software Engineer,11.96
F,MBA,Business Analytics,73.86,72.73,7.38,Yes,1.0,7.5,7.5,6.3,0,1,1,Not Placed,Not Placed,None,
F,B.Sc,Physics,77.03,73.42,5.48,Yes,1.6,4.9,7.1,5.2,1,0,1,Not Placed,Not Placed,None,
M,B.Tech,Information Technology,72.41,59.01,5.56,No,9.8,7.7,6.2,8.0,1,0,0,Not Placed,Not Placed,None,
F,MBA,Marketing,63.34,70.45,7.51,No,4.2,6.5,3.8,9.3,1,1,2,Placed,Marketing & HR,Brand Executive,7.49
M,B.Sc,Physics,73.69,76.31,5.91,No,1.0,8.5,4.0,6.7,2,0,1,Not Placed,Not Placed,None,
F,B.Tech,Computer Science,71.24,58.49,10.0,No,6.1,8.2,8.0,5.2,1,2,1,Placed,Consulting,Strategy Consultant,10.17
F,B.Tech,Computer Science,79.36,81.05,5.03,Yes,8.3,8.7,5.4,5.8,2,2,1,Placed,Tech,Software Engineer,13.46
M,B.Com,Accounting & Finance,77.77,66.22,6.54,No,1.5,8.7,7.7,7.4,1,0,2,Placed,Finance,Financial Analyst,9.9
F,B.Sc,Physics,70.3,82.58,7.52,Yes,3.3,6.7,6.4,5.0,2,1,0,Not Placed,Not Placed,None,
M,BCA,Computer Applications,61.03,64.67,7.06,No,8.3,4.8,5.5,6.3,3,0,1,Placed,Tech,Web Developer,12.53
M,BBA,Finance,63.47,59.73,6.18,No,1.3,4.9,8.2,6.9,2,2,2,Placed,Finance,Financial Analyst,10.48
M,B.Com,General Commerce,64.5,65.42,6.35,No,4.5,3.4,6.2,7.6,1,0,2,Placed,Finance,Risk Associate,8.04
F,B.Tech,Computer Science,66.85,69.05,6.31,No,8.1,4.9,4.7,6.5,4,1,1,Placed,Tech,Software Engineer,12.49
F,B.Tech,Information Technology,72.68,66.12,7.16,No,7.5,6.6,5.7,6.6,3,0,1,Not Placed,Not Placed,None,
F,B.Tech,Information Technology,77.15,67.84,9.84,No,8.1,5.7,7.2,6.4,3,1,1,Placed,Tech,Web Developer,16.0
M,B.Com,Accounting & Finance,69.49,73.34,7.59,No,4.5,6.2,7.9,5.6,2,0,0,Not Placed,Not Placed,None,
F,B.Tech,Electronics,70.16,68.29,8.92,No,5.7,7.2,6.4,6.7,2,0,1,Not Placed,Not Placed,None,
F,B.Sc,Computer Science,71.43,69.34,8.11,No,5.4,6.0,9.4,5.6,1,0,0,Placed,Consulting,Operations Analyst,9.45
M,B.Com,Accounting & Finance,64.84,52.91,8.84,No,1.4,4.8,8.1,6.5,0,0,0,Placed,Consulting,Operations Analyst,7.06
M,BBA,Finance,60.75,73.92,4.14,Yes,2.2,6.4,6.9,7.0,1,1,2,Not Placed,Not Placed,None,
M,B.Tech,Information Technology,52.45,69.11,7.13,No,8.5,5.2,6.3,5.6,1,0,3,Placed,Tech,Cloud Associate,12.92
F,BBA,Human Resources,63.05,86.1,9.07,No,2.6,6.1,6.8,7.3,0,0,0,Placed,Consulting,Business Analyst,6.92
F,B.Tech,Computer Science,74.73,60.6,6.81,Yes,7.9,8.5,5.9,7.8,3,1,0,Placed,Consulting,Business Analyst,10.17
F,BBA,Marketing,62.97,51.92,9.61,No,5.0,6.1,7.7,8.7,1,1,0,Placed,Consulting,Business Analyst,7.76
M,B.Tech,Electronics,67.62,76.18,9.28,No,5.5,9.2,6.3,6.6,1,1,0,Not Placed,Not Placed,None,
F,MCA,Computer Applications,74.66,73.47,6.94,Yes,6.7,8.6,6.8,3.8,1,1,1,Placed,Consulting,Business Analyst,11.28
M,B.Com,General Commerce,75.21,59.92,6.9,No,3.5,5.6,6.7,6.0,2,0,1,Placed,Consulting,Business Analyst,6.37
M,B.Tech,Mechanical,59.2,54.7,6.28,No,4.8,4.8,6.5,8.0,0,0,0,Not Placed,Not Placed,None,
F,B.Tech,Mechanical,79.97,85.37,6.74,Yes,2.8,6.4,10.0,5.9,2,2,2,Placed,Consulting,Business Analyst,12.22
M,B.Com,Accounting & Finance,81.27,84.14,6.02,No,2.5,8.2,7.5,5.9,1,1,1,Placed,Consulting,Business Analyst,9.75
